lambda,alpha0,alpha1,alpha2,iteration
0.0,0.4,0.25,0.75,0
0.0,0.4008,0.2495,0.7526,0
0.0,0.4008,0.2489,0.7534,0
0.0,0.4005,0.2482,0.7532,0
0.0,0.4,0.2473,0.7518,0
0.0,0.399,0.2458,0.7484,0
0.0,0.3958,0.2429,0.7442,0
0.0,0.389,0.2363,0.7436,0
0.0,0.3785,0.2263,0.743,0
0.0,0.3625,0.211,0.7419,0
0.0,0.3533,0.2021,0.7412,0
0.0,0.3178,0.1674,0.7377,0
0.0,0.2384,0.0884,0.7293,0
0.0,0.0657,0.0,0.7074,0
0.0,0.0,0.0,0.6778,0
0.0,0.0002,0.0,0.6594,0
0.0,0.0,0.0,0.6537,0
0.0,0.0016,0.0013,0.64,0
0.0,0.0016,0.0013,0.6314,0
0.0,0.0044,0.0041,0.6136,0
0.0,0.0014,0.0003,0.6077,0
0.0,0.0016,0.0002,0.5916,0
0.0,0.0004,0.0002,0.5672,0
0.0,0.0125,0.0044,0.5538,0
0.0,0.006,0.0013,0.5384,0
0.0,0.0015,0.0002,0.5248,0
0.0,0.0105,0.0027,0.5156,0
0.0,0.0228,0.0052,0.5016,0
0.0,0.0304,0.0023,0.4889,0
0.0,0.0331,0.0065,0.464,0
0.0,0.0392,0.0065,0.4576,0
0.0,0.0416,0.0079,0.4447,0
0.0,0.0522,0.0039,0.4359,0
0.0,0.0598,0.0008,0.424,0
0.0,0.0638,0.0,0.4152,0
0.0,0.0753,0.0032,0.4044,0
0.0,0.0828,0.0001,0.3861,0
0.0,0.091,0.0024,0.3802,0
0.0,0.103,0.0075,0.376,0
0.0,0.1079,0.0012,0.3668,0
0.0,0.12,0.0065,0.3687,0
0.0,0.1174,0.0016,0.3608,0
0.0,0.1311,0.0053,0.3518,0
0.0,0.1473,0.0095,0.3486,0
0.0,0.1497,0.0016,0.3296,0
0.0,0.1693,0.0086,0.3357,0
0.0,0.1831,0.0081,0.3383,0
0.0,0.1948,0.0048,0.3267,0
0.0,0.1948,0.0,0.3171,0
0.0,0.2003,0.0012,0.3142,0
0.0,0.2041,0.001,0.3105,0
0.0,0.2185,0.0005,0.3081,0
0.0,0.2414,0.0081,0.309,0
0.0,0.255,0.0058,0.3046,0
0.0,0.2694,0.0068,0.2982,0
0.0,0.2736,0.0001,0.2894,0
0.0,0.2846,0.0024,0.285,0
0.0,0.3004,0.0035,0.2803,0
0.0,0.3063,0.0039,0.278,0
0.0,0.3184,0.0002,0.2746,0
0.0,0.3178,0.004,0.2641,0
0.0,0.3318,0.0014,0.2659,0
0.0,0.3407,0.0,0.2614,0
0.0,0.3666,0.0097,0.2564,0
0.0,0.3773,0.0031,0.251,0
0.0,0.3927,0.002,0.2437,0
0.0,0.406,0.0022,0.2372,0
0.0,0.4227,0.0,0.2351,0
0.0,0.4424,0.0012,0.2323,0
0.0,0.44,0.0001,0.2323,0
0.0,0.4559,0.0069,0.2353,0
0.0,0.4686,0.0037,0.2351,0
0.0,0.483,0.0032,0.2383,0
0.0,0.4956,0.0016,0.231,0
0.0,0.5043,0.001,0.2243,0
0.0,0.5149,0.0003,0.2201,0
0.0,0.5344,0.0004,0.2225,0
0.0,0.5407,0.001,0.2185,0
0.0,0.5575,0.001,0.2113,0
0.0,0.5648,0.0019,0.2142,0
0.0,0.5717,0.0007,0.2067,0
0.0,0.5806,0.0017,0.2005,0
0.0,0.5937,0.0002,0.2015,0
0.0,0.6301,0.0035,0.1966,0
0.0,0.6465,0.0028,0.1951,0
0.0,0.6438,0.0014,0.1925,0
0.0,0.6502,0.0,0.1949,0
0.0,0.6587,0.0016,0.192,0
0.0,0.6708,0.004,0.1839,0
0.0,0.6728,0.0016,0.1827,0
0.0,0.6761,0.0,0.1803,0
0.0,0.6904,0.0054,0.1762,0
0.0,0.7051,0.0012,0.1814,0
0.0,0.7149,0.0002,0.175,0
0.0,0.7151,0.0,0.1721,0
0.0,0.7209,0.0021,0.1724,0
0.0,0.7471,0.0034,0.1814,0
0.0,0.7469,0.0012,0.1774,0
0.0,0.7427,0.0,0.1717,0
0.0,0.766,0.0042,0.1777,0
0.0,0.9,0.7,0.8,1
0.0,0.9019,0.6976,0.7985,1
0.0,0.9008,0.692,0.7915,1
0.0,0.8927,0.6794,0.7717,1
0.0,0.8699,0.6559,0.6837,1
0.0,0.828,0.6138,0.4139,1
0.0,0.8095,0.593,0.2628,1
0.0,0.8061,0.5824,0.1949,1
0.0,0.8037,0.5747,0.1453,1
0.0,0.8033,0.5711,0.1174,1
0.0,0.8038,0.5699,0.1105,1
0.0,0.8052,0.5678,0.1013,1
0.0,0.8073,0.566,0.0902,1
0.0,0.8092,0.5641,0.0893,1
0.0,0.8114,0.5632,0.0854,1
0.0,0.8154,0.5657,0.0954,1
0.0,0.8178,0.5645,0.0999,1
0.0,0.8203,0.5631,0.0955,1
0.0,0.8237,0.565,0.101,1
0.0,0.8258,0.5658,0.0985,1
0.0,0.8266,0.5662,0.1003,1
0.0,0.8314,0.5688,0.1181,1
0.0,0.8365,0.5732,0.1361,1
0.0,0.8421,0.5766,0.1466,1
0.0,0.8463,0.5751,0.1463,1
0.0,0.8506,0.5773,0.1532,1
0.0,0.8521,0.5746,0.1446,1
0.0,0.8588,0.5789,0.1629,1
0.0,0.8643,0.5793,0.1694,1
0.0,0.8703,0.5815,0.1802,1
0.0,0.8715,0.5809,0.1786,1
0.0,0.8761,0.5824,0.1821,1
0.0,0.8825,0.5794,0.1807,1
0.0,0.8878,0.5817,0.1885,1
0.0,0.8947,0.5821,0.1913,1
0.0,0.9011,0.5838,0.2025,1
0.0,0.9112,0.5878,0.2173,1
0.0,0.9169,0.5867,0.2111,1
0.0,0.9221,0.5833,0.203,1
0.0,0.9295,0.5845,0.2097,1
0.0,0.9312,0.5847,0.2062,1
0.0,0.938,0.5831,0.1999,1
0.0,0.9481,0.5877,0.2102,1
0.0,0.9554,0.5884,0.2134,1
0.0,0.963,0.5887,0.2147,1
0.0,0.974,0.5902,0.2235,1
0.0,0.9807,0.5873,0.22,1
0.0,0.989,0.5864,0.2239,1
0.0,0.9962,0.5857,0.2215,1
0.0,0.9998,0.5866,0.2196,1
0.0,0.9987,0.5847,0.2125,1
0.0,0.9997,0.5871,0.2168,1
0.0,1.0,0.5879,0.219,1
0.0,1.0,0.5868,0.2171,1
0.0,0.999,0.5836,0.2029,1
0.0,0.9997,0.5879,0.2101,1
0.0,0.9994,0.5877,0.219,1
0.0,0.9995,0.5863,0.2144,1
0.0,0.9979,0.5852,0.2106,1
0.0,0.9992,0.5861,0.2121,1
0.0,0.9989,0.5871,0.2133,1
0.0,0.9996,0.5874,0.2156,1
0.0,1.0,0.5883,0.2149,1
0.0,0.9993,0.5872,0.2159,1
0.0,0.9992,0.5855,0.2066,1
0.0,0.9991,0.5872,0.2134,1
0.0,0.9967,0.5887,0.222,1
0.0,0.9993,0.588,0.2178,1
0.0,0.9997,0.5883,0.2125,1
0.0,0.9995,0.5882,0.2027,1
0.0,1.0,0.5902,0.206,1
0.0,0.9984,0.5886,0.2011,1
0.0,0.9969,0.5903,0.2056,1
0.0,0.9978,0.5908,0.2062,1
0.0,0.9985,0.5913,0.2065,1
0.0,0.9992,0.5918,0.2093,1
0.0,0.997,0.5888,0.1977,1
0.0,0.9974,0.591,0.198,1
0.0,0.999,0.5919,0.1961,1
0.0,0.9973,0.5921,0.1853,1
0.0,0.9987,0.5948,0.1913,1
0.0,0.9986,0.5917,0.1775,1
0.0,1.0,0.5953,0.1872,1
0.0,0.9958,0.5945,0.1812,1
0.0,0.9968,0.594,0.1846,1
0.0,0.9984,0.5943,0.1803,1
0.0,0.9978,0.5957,0.1874,1
0.0,1.0,0.5956,0.1801,1
0.0,0.9996,0.5977,0.1836,1
0.0,0.9953,0.5972,0.1737,1
0.0,0.994,0.5982,0.1693,1
0.0,0.9981,0.5982,0.1659,1
0.0,0.9986,0.6036,0.1741,1
0.0,0.9983,0.6051,0.1735,1
0.0,0.9984,0.6057,0.1689,1
0.0,0.9989,0.6062,0.1663,1
0.0,0.9946,0.6063,0.1653,1
0.0,0.9999,0.6095,0.1736,1
0.0,0.9955,0.6032,0.1562,1
0.0,0.9972,0.6031,0.1589,1
0.0,0.85,0.35,0.25,2
0.0,0.8558,0.3502,0.2533,2
0.0,0.8539,0.3413,0.2533,2
0.0,0.8379,0.3174,0.2531,2
0.0,0.7955,0.2698,0.2416,2
0.0,0.6835,0.1255,0.1329,2
0.0,0.6013,0.0013,0.0258,2
0.0,0.5771,0.0,0.0,2
0.0,0.5689,0.0,0.0,2
0.0,0.5613,0.0019,0.0,2
0.0,0.5563,0.0,0.001,2
0.0,0.5537,0.0056,0.0,2
0.0,0.5501,0.0062,0.0,2
0.0,0.5445,0.0039,0.0,2
0.0,0.5439,0.0129,0.0,2
0.0,0.542,0.0178,0.0,2
0.0,0.5415,0.0274,0.0,2
0.0,0.5377,0.0254,0.0,2
0.0,0.5426,0.0382,0.0,2
0.0,0.5426,0.0405,0.0,2
0.0,0.544,0.0469,0.0018,2
0.0,0.5441,0.0546,0.0,2
0.0,0.5444,0.06,0.0012,2
0.0,0.5492,0.0734,0.0002,2
0.0,0.5503,0.0757,0.0,2
0.0,0.5543,0.0885,0.0001,2
0.0,0.5561,0.0926,0.0014,2
0.0,0.5566,0.0948,0.0017,2
0.0,0.5597,0.1082,0.0,2
0.0,0.5632,0.1143,0.0,2
0.0,0.5673,0.1223,0.0,2
0.0,0.5731,0.1347,0.0,2
0.0,0.5745,0.1392,0.0,2
0.0,0.5808,0.1512,0.0,2
0.0,0.5837,0.1548,0.0015,2
0.0,0.5898,0.1701,0.0009,2
0.0,0.5976,0.1827,0.0,2
0.0,0.6035,0.1883,0.0,2
0.0,0.6049,0.1905,0.0002,2
0.0,0.6121,0.2045,0.0009,2
0.0,0.6147,0.2077,0.0012,2
0.0,0.6235,0.2207,0.0,2
0.0,0.6279,0.2301,0.0,2
0.0,0.6293,0.2317,0.0012,2
0.0,0.6459,0.2556,0.0,2
0.0,0.6476,0.2554,0.0024,2
0.0,0.6522,0.2613,0.0,2
0.0,0.6498,0.2598,0.0007,2
0.0,0.6659,0.2829,0.0,2
0.0,0.6744,0.2945,0.0,2
0.0,0.6796,0.3052,0.0025,2
0.0,0.6829,0.3113,0.0,2
0.0,0.6878,0.3135,0.0003,2
0.0,0.6902,0.3187,0.0,2
0.0,0.6961,0.3252,0.0,2
0.0,0.7115,0.3414,0.0004,2
0.0,0.7112,0.3376,0.0,2
0.0,0.7174,0.3457,0.0016,2
0.0,0.725,0.3541,0.0022,2
0.0,0.7341,0.3659,0.0001,2
0.0,0.7378,0.3727,0.0,2
0.0,0.7431,0.3787,0.0006,2
0.0,0.7492,0.3846,0.0,2
0.0,0.7463,0.3794,0.0001,2
0.0,0.7581,0.3934,0.0,2
0.0,0.7656,0.4034,0.0,2
0.0,0.7672,0.4036,0.0009,2
0.0,0.7759,0.4104,0.0,2
0.0,0.7835,0.4171,0.0012,2
0.0,0.7882,0.4172,0.0005,2
0.0,0.7899,0.4196,0.0036,2
0.0,0.7933,0.4209,0.0,2
