lambda,alpha0,alpha1,alpha2,iteration
0.0,0.8059,0.429,0.0047,2
0.0,0.8134,0.435,0.0,2
0.0,0.8172,0.4355,0.002,2
0.0,0.8235,0.4371,0.002,2
0.0,0.8277,0.446,0.0006,2
0.0,0.8322,0.4462,0.0018,2
0.0,0.8458,0.4557,0.0065,2
0.0,0.8531,0.4586,0.001,2
0.0,0.8526,0.4572,0.0023,2
0.0,0.8578,0.4604,0.0,2
0.0,0.8676,0.4671,0.0016,2
0.0,0.8695,0.4596,0.0019,2
0.0,0.8788,0.4679,0.0,2
0.0,0.8879,0.4689,0.0,2
0.0,0.889,0.4713,0.0028,2
0.0,0.8898,0.4659,0.0016,2
0.0,0.8992,0.4703,0.0064,2
0.0,0.8953,0.4634,0.0026,2
0.0,0.9015,0.4694,0.0023,2
0.0,0.907,0.4693,0.0024,2
0.0,0.9158,0.4762,0.0019,2
0.0,0.9243,0.4753,0.0007,2
0.0,0.9298,0.4807,0.0021,2
0.0,0.9343,0.4766,0.0,2
0.0,0.9407,0.4774,0.0007,2
0.0,0.9469,0.477,0.001,2
0.0,0.953,0.4787,0.0019,2
0.0,0.9537,0.4753,0.0054,2
0.0,0.6,0.25,0.6,3
0.0,0.6009,0.2514,0.6036,3
0.0,0.6012,0.2518,0.6042,3
0.0,0.6014,0.2518,0.6031,3
0.0,0.6011,0.2508,0.599,3
0.0,0.6,0.2493,0.593,3
0.0,0.5978,0.247,0.5859,3
0.0,0.5934,0.2409,0.5763,3
0.0,0.5829,0.2251,0.5661,3
0.0,0.557,0.1894,0.5454,3
0.0,0.5385,0.1648,0.5277,3
0.0,0.4347,0.0276,0.401,3
0.0,0.3503,0.0,0.2895,3
0.0,0.3255,0.0,0.2412,3
0.0,0.3167,0.0006,0.217,3
0.0,0.3203,0.0,0.2119,3
0.0,0.3172,0.0,0.1983,3
0.0,0.3304,0.001,0.1972,3
0.0,0.3362,0.0004,0.1944,3
0.0,0.337,0.0007,0.1835,3
0.0,0.3455,0.0001,0.197,3
0.0,0.3604,0.0004,0.21,3
0.0,0.3697,0.0001,0.2144,3
0.0,0.3833,0.0025,0.2182,3
0.0,0.3932,0.0,0.2182,3
0.0,0.4048,0.0003,0.2228,3
0.0,0.4169,0.0,0.2214,3
0.0,0.4273,0.001,0.2211,3
0.0,0.4447,0.0005,0.2283,3
0.0,0.4535,0.0,0.2225,3
0.0,0.4633,0.0005,0.2322,3
0.0,0.4805,0.0,0.2391,3
0.0,0.4963,0.0002,0.2412,3
0.0,0.5094,0.0001,0.2451,3
0.0,0.5257,0.0008,0.2471,3
0.0,0.5411,0.0,0.2425,3
0.0,0.5611,0.0003,0.2511,3
0.0,0.5769,0.0,0.255,3
0.0,0.5911,0.0008,0.2529,3
0.0,0.6111,0.0004,0.2517,3
0.0,0.6134,0.0,0.2451,3
0.0,0.6304,0.0017,0.2476,3
0.0,0.6498,0.0,0.2579,3
0.0,0.6625,0.0,0.2511,3
0.0,0.6831,0.0,0.2572,3
0.0,0.7006,0.005,0.2545,3
0.0,0.7132,0.0012,0.2446,3
0.0,0.7289,0.0029,0.2433,3
0.0,0.7483,0.0,0.2354,3
0.0,0.774,0.0005,0.2324,3
0.0,0.777,0.0017,0.2245,3
0.0,0.7868,0.0,0.2117,3
0.0,0.8197,0.0014,0.2194,3
0.0,0.8381,0.0019,0.2122,3
0.0,0.8353,0.0004,0.1911,3
0.0,0.8441,0.0002,0.1909,3
0.0,0.8638,0.0,0.1893,3
0.0,0.8786,0.0003,0.1871,3
0.0,0.8969,0.0003,0.1859,3
0.0,0.9057,0.0003,0.1744,3
0.0,0.9062,0.0006,0.1701,3
0.0,0.9229,0.0003,0.1668,3
0.0,0.9386,0.0011,0.1588,3
0.0,0.9346,0.0006,0.1471,3
0.0,0.9623,0.0013,0.148,3
0.0,0.9576,0.0001,0.1319,3
0.0,0.9589,0.0003,0.1212,3
0.0,0.9899,0.0032,0.1254,3
0.0,0.9992,0.0028,0.1179,3
0.0,0.9949,0.0013,0.1101,3
0.0,1.0,0.0004,0.1091,3
0.0,0.9973,0.0018,0.1029,3
0.0,0.9801,0.0,0.0915,3
0.0,0.9982,0.0015,0.0961,3
0.0,0.9958,0.0,0.0931,3
0.0,0.996,0.0014,0.0964,3
0.0,1.0,0.0017,0.1066,3
0.0,0.9898,0.0014,0.0967,3
0.0,0.9981,0.0,0.0884,3
0.0,0.9977,0.0025,0.0856,3
0.0,0.9929,0.0012,0.0819,3
0.0,0.9924,0.0005,0.0735,3
0.0,1.0,0.0027,0.0794,3
0.0,0.992,0.0007,0.0682,3
0.0,0.9955,0.0002,0.0653,3
0.0,0.9938,0.0014,0.0752,3
0.0,0.9997,0.0005,0.0701,3
0.0,0.9919,0.0,0.0603,3
0.0,0.9964,0.0009,0.0667,3
0.0,1.0,0.0018,0.0711,3
0.0,0.989,0.0,0.068,3
0.0,0.9917,0.0012,0.0668,3
0.0,0.9805,0.0,0.0665,3
0.0,0.9923,0.0,0.0621,3
0.0,0.9811,0.0,0.0553,3
0.0,0.991,0.0,0.0532,3
0.0,0.9874,0.0,0.0503,3
0.0,0.9933,0.0008,0.052,3
0.0,1.0,0.0014,0.0576,3
0.0,0.9994,0.0032,0.046,3
0.0,0.65,0.0,0.55,4
0.0,0.6473,0.0001,0.5488,4
0.0,0.6359,0.0,0.5343,4
0.0,0.5844,0.0,0.4434,4
0.0,0.4974,0.0,0.2916,4
0.0,0.4639,0.0,0.1977,4
0.0,0.4509,0.0003,0.1474,4
0.0,0.4488,0.0009,0.1272,4
0.0,0.4453,0.0006,0.1126,4
0.0,0.4467,0.0051,0.1111,4
0.0,0.4451,0.0068,0.1102,4
0.0,0.4486,0.0064,0.1105,4
0.0,0.4516,0.0081,0.1103,4
0.0,0.4565,0.0115,0.1155,4
0.0,0.4617,0.0169,0.1251,4
0.0,0.4669,0.0178,0.1224,4
0.0,0.472,0.0188,0.1209,4
0.0,0.4781,0.0213,0.1217,4
0.0,0.487,0.028,0.1259,4
0.0,0.4967,0.0344,0.1374,4
0.0,0.4959,0.0295,0.1282,4
0.0,0.506,0.0333,0.1344,4
0.0,0.5128,0.0302,0.1307,4
0.0,0.5213,0.0302,0.1335,4
0.0,0.5297,0.0331,0.1376,4
0.0,0.5368,0.0282,0.1273,4
0.0,0.5515,0.0391,0.1455,4
0.0,0.5615,0.0388,0.1408,4
0.0,0.5752,0.0446,0.1456,4
0.0,0.5793,0.0342,0.1346,4
0.0,0.5821,0.0327,0.1328,4
0.0,0.5965,0.0368,0.1395,4
0.0,0.6069,0.0313,0.1353,4
0.0,0.6219,0.0352,0.1431,4
0.0,0.6323,0.0323,0.1363,4
0.0,0.6412,0.0256,0.1385,4
0.0,0.6556,0.0266,0.1413,4
0.0,0.6668,0.0224,0.1478,4
0.0,0.6795,0.0202,0.1451,4
0.0,0.7,0.0245,0.1566,4
0.0,0.7039,0.0217,0.1469,4
0.0,0.7165,0.016,0.137,4
0.0,0.7378,0.0192,0.1467,4
0.0,0.7535,0.017,0.1428,4
0.0,0.7568,0.0049,0.1357,4
0.0,0.7785,0.0071,0.1417,4
0.0,0.7852,0.0026,0.135,4
0.0,0.7996,0.0017,0.1198,4
0.0,0.82,0.0033,0.1326,4
0.0,0.8318,0.0046,0.1267,4
0.0,0.8331,0.0002,0.1201,4
0.0,0.8472,0.0,0.1121,4
0.0,0.8664,0.0018,0.1036,4
0.0,0.8859,0.0045,0.1091,4
0.0,0.8963,0.0013,0.0952,4
0.0,0.909,0.0016,0.1049,4
0.0,0.9259,0.0009,0.1033,4
0.0,0.938,0.0026,0.0919,4
0.0,0.9435,0.0033,0.0723,4
0.0,0.9631,0.0023,0.0806,4
0.0,0.9665,0.0013,0.0788,4
0.0,0.9756,0.0008,0.0768,4
0.0,0.9844,0.0012,0.0684,4
0.0,0.9983,0.001,0.0603,4
0.0,0.999,0.0022,0.0578,4
0.0,0.9976,0.0012,0.0498,4
0.0,0.9985,0.0024,0.0426,4
0.0,0.9986,0.0014,0.0392,4
0.0,1.0,0.0042,0.0443,4
0.0,0.9919,0.0,0.0304,4
0.0,0.9977,0.001,0.0319,4
0.0,0.9979,0.0005,0.0226,4
0.0,0.9899,0.0001,0.0213,4
0.0,0.9996,0.0021,0.0209,4
0.0,0.9918,0.0003,0.009,4
0.0,0.9981,0.0021,0.0139,4
0.0,0.9953,0.0006,0.0139,4
0.0,1.0,0.0016,0.0048,4
0.0,1.0,0.0013,0.0113,4
0.0,0.9937,0.0018,0.0098,4
0.0,0.9875,0.0,0.0009,4
0.0,0.9983,0.0014,0.0047,4
0.0,0.9974,0.0001,0.0028,4
0.0,0.999,0.0021,0.005,4
0.0,0.9905,0.0008,0.0,4
0.0,0.9924,0.0025,0.001,4
0.0,0.991,0.0009,0.0008,4
0.0,0.991,0.0003,0.0,4
0.0,0.989,0.0016,0.0021,4
0.0,0.9982,0.0002,0.0007,4
0.0,0.985,0.0,0.0,4
0.0,0.9927,0.0017,0.0055,4
0.0,0.9978,0.0029,0.0065,4
0.0,0.9928,0.0011,0.0017,4
0.0,0.9894,0.0013,0.0035,4
0.0,0.9841,0.0,0.0,4
0.0,0.9907,0.001,0.0045,4
0.0,1.0,0.0056,0.0041,4
0.0,0.9933,0.0014,0.0026,4
0.0,0.9899,0.0,0.0003,4
0.0,0.15,0.05,0.9,5
0.0,0.1509,0.0497,0.9,5
0.0,0.1478,0.0459,0.8996,5
0.0,0.1389,0.037,0.8979,5
0.0,0.1105,0.008,0.8902,5
0.0,0.0107,0.0,0.8098,5
0.0,0.0,0.0,0.6396,5
0.0,0.0,0.0,0.5345,5
0.0,0.0,0.0,0.4607,5
0.0,0.0018,0.0006,0.4163,5
0.0,0.0006,0.0,0.406,5
0.0,0.0,0.0,0.3817,5
0.0,0.0,0.0,0.3656,5
0.0,0.0,0.0,0.3692,5
0.0,0.0011,0.001,0.3694,5
0.0,0.0035,0.0021,0.3679,5
0.0,0.0033,0.002,0.3743,5
0.0,0.0004,0.0002,0.3739,5
0.0,0.0025,0.0003,0.3672,5
0.0,0.0034,0.003,0.3715,5
0.0,0.0032,0.0002,0.3889,5
0.0,0.0046,0.0027,0.4032,5
0.0,0.0014,0.0014,0.3991,5
0.0,0.0019,0.001,0.4041,5
0.0,0.0011,0.0005,0.4119,5
0.0,0.0017,0.0017,0.4031,5
0.0,0.0074,0.0029,0.4107,5
0.0,0.003,0.0001,0.4072,5
0.0,0.0057,0.0019,0.4286,5
0.0,0.005,0.0031,0.4234,5
0.0,0.0036,0.0001,0.4191,5
0.0,0.0073,0.0027,0.4325,5
0.0,0.0012,0.0,0.4265,5
0.0,0.0014,0.0,0.4344,5
0.0,0.0,0.0,0.4321,5
0.0,0.0044,0.0029,0.447,5
0.0,0.0042,0.0,0.4544,5
0.0,0.0022,0.0007,0.4605,5
0.0,0.0002,0.0001,0.4517,5
0.0,0.0043,0.0029,0.4569,5
0.0,0.0054,0.0038,0.4634,5
0.0,0.0,0.0,0.4597,5
0.0,0.0036,0.0007,0.4676,5
0.0,0.006,0.0011,0.4737,5
0.0,0.0088,0.002,0.4859,5
0.0,0.004,0.0018,0.4792,5
0.0,0.0,0.0001,0.4696,5
0.0,0.0022,0.0006,0.492,5
0.0,0.0035,0.002,0.488,5
0.0,0.0103,0.0016,0.4928,5
0.0,0.0071,0.0,0.4913,5
0.0,0.0057,0.0015,0.4956,5
0.0,0.0043,0.0013,0.5169,5
0.0,0.0,0.0,0.5112,5
0.0,0.0024,0.0021,0.4896,5
0.0,0.0027,0.0,0.4905,5
0.0,0.0076,0.0038,0.4986,5
0.0,0.0046,0.0,0.4948,5
0.0,0.0068,0.0006,0.4942,5
0.0,0.011,0.0039,0.5124,5
0.0,0.0091,0.0018,0.5114,5
0.0,0.007,0.0002,0.5204,5
0.0,0.0027,0.0023,0.5202,5
0.0,0.0011,0.0,0.5269,5
0.0,0.0023,0.0,0.5299,5
0.0,0.0037,0.0012,0.5327,5
0.0,0.0007,0.0008,0.5193,5
0.0,0.0028,0.0008,0.5159,5
0.0,0.0123,0.0064,0.5242,5
0.0,0.008,0.0008,0.5295,5
0.0,0.0078,0.0024,0.5235,5
0.0,0.0,0.0,0.5235,5
0.0,0.0052,0.0036,0.5254,5
0.0,0.0079,0.0034,0.5231,5
0.0,0.0158,0.0074,0.5427,5
0.0,0.0108,0.0004,0.5276,5
0.0,0.0063,0.0007,0.5255,5
0.0,0.0079,0.0026,0.5281,5
0.0,0.008,0.0019,0.5358,5
0.0,0.0051,0.0006,0.538,5
0.0,0.0097,0.0025,0.5484,5
0.0,0.0075,0.003,0.5454,5
0.0,0.0066,0.0004,0.547,5
0.0,0.0067,0.0031,0.5592,5
0.0,0.0002,0.0,0.5391,5
0.0,0.0098,0.0073,0.5489,5
0.0,0.0105,0.0054,0.5407,5
0.0,0.0109,0.0022,0.5456,5
0.0,0.0069,0.0029,0.5304,5
0.0,0.0067,0.0007,0.5358,5
0.0,0.0065,0.0021,0.5443,5
0.0,0.01,0.0029,0.5503,5
0.0,0.008,0.0,0.5454,5
0.0,0.0055,0.0031,0.5391,5
0.0,0.0015,0.0007,0.5383,5
0.0,0.0067,0.0033,0.5478,5
0.0,0.0067,0.0036,0.5597,5
0.0,0.0079,0.0011,0.5555,5
0.0,0.0061,0.0019,0.5582,5
0.0,0.0094,0.0029,0.5679,5
0.005,0.7,0.8,0.45,0
0.005,0.6938,0.7951,0.4479,0
0.005,0.6878,0.7918,0.4455,0
0.005,0.681,0.7878,0.443,0
0.005,0.6742,0.7845,0.4403,0
0.005,0.6668,0.7806,0.4375,0
0.005,0.6582,0.777,0.4348,0
0.005,0.6467,0.7725,0.4318,0
0.005,0.6325,0.767,0.4268,0
0.005,0.6116,0.7614,0.4191,0
0.005,0.5985,0.7584,0.4138,0
0.005,0.5236,0.7417,0.3716,0
0.005,0.368,0.6942,0.1955,0
0.005,0.3129,0.6632,0.0816,0
0.005,0.2955,0.6415,0.0177,0
0.005,0.2787,0.6169,0.0,0
0.005,0.2676,0.6004,0.0002,0
0.005,0.2665,0.5882,0.0037,0
0.005,0.2756,0.583,0.0022,0
0.005,0.2824,0.5804,0.0061,0
0.005,0.2884,0.5818,0.0064,0
0.005,0.2987,0.5808,0.0057,0
0.005,0.3085,0.5788,0.0071,0
0.005,0.3257,0.5809,0.0095,0
0.005,0.3389,0.5772,0.0157,0
0.005,0.3521,0.573,0.019,0
0.005,0.3655,0.5705,0.0297,0
0.005,0.3631,0.5627,0.0231,0
0.005,0.382,0.5649,0.0355,0
0.005,0.3943,0.5633,0.0385,0
0.005,0.4063,0.5664,0.0462,0
0.005,0.4194,0.5654,0.0484,0
0.005,0.4304,0.5639,0.0498,0
0.005,0.4457,0.5591,0.0527,0
0.005,0.4599,0.5623,0.0631,0
0.005,0.4693,0.5566,0.0565,0
0.005,0.4832,0.551,0.0572,0
0.005,0.4986,0.5484,0.0643,0
0.005,0.5139,0.5473,0.072,0
0.005,0.5167,0.5415,0.0748,0
0.005,0.5239,0.5391,0.0774,0
0.005,0.5331,0.5352,0.0776,0
0.005,0.5424,0.5287,0.0817,0
0.005,0.5566,0.5211,0.0709,0
0.005,0.565,0.519,0.0738,0
0.005,0.5792,0.5193,0.0826,0
0.005,0.5934,0.5166,0.0848,0
0.005,0.5963,0.5088,0.0821,0
0.005,0.6102,0.5058,0.0851,0
0.005,0.6176,0.5002,0.0831,0
0.005,0.6308,0.4973,0.0844,0
0.005,0.6345,0.4935,0.0845,0
0.005,0.6462,0.4909,0.0856,0
0.005,0.6603,0.4886,0.0871,0
0.005,0.6717,0.4817,0.0872,0
0.005,0.6652,0.4715,0.0742,0
0.005,0.6791,0.4671,0.076,0
0.005,0.6861,0.4601,0.0736,0
0.005,0.6935,0.4531,0.0697,0
0.005,0.7007,0.4491,0.0747,0
0.005,0.7043,0.4491,0.0791,0
0.005,0.7207,0.4457,0.0779,0
0.005,0.7274,0.4403,0.0787,0
0.005,0.7426,0.4389,0.0879,0
0.005,0.7301,0.4302,0.0762,0
0.005,0.7413,0.4263,0.0763,0
0.005,0.7598,0.4233,0.078,0
0.005,0.7607,0.4156,0.071,0
0.005,0.7629,0.409,0.0676,0
0.005,0.7763,0.4073,0.0691,0
0.005,0.7598,0.4033,0.0614,0
0.005,0.7752,0.4014,0.0616,0
0.005,0.7854,0.398,0.0631,0
0.005,0.7932,0.3939,0.0658,0
0.005,0.7845,0.3902,0.0585,0
0.005,0.8023,0.388,0.0673,0
0.005,0.7843,0.3805,0.0582,0
0.005,0.7995,0.3772,0.0642,0
0.005,0.8,0.3739,0.058,0
0.005,0.8109,0.3724,0.0586,0
